InR	E2f1	Archease
CG14015	Hel25E	Lam
CG7839	JIL-1	CG46439
CG13471	Trl	Tsen34
DnaJ-1	Usp47	CG10576
PI31	ADD1	CG30036
CrebA	AGO2	CG7739
Ttc7	bin3	Pld
CG4835	blanks	CG34342
iPLA2-VIA	Ciz1	CG34382
CG15818	chm	muc
CG14937	crol	CycY
imd	Dp1	CG5174
Eps-15	egg	CG3594
stj	fl_2_d	CG13339
CG3038	G9a	CG42376
CG32246	HDAC1	axo
ball	His2Av	SPARC
Roc1a	Hmt4-20	SkpA
PrBP	Hnf4	raw
CG8042	HP4	CG8209
Sk1	HP5	CG43155
tefu	Hsc70-4	tgo
CG31406	jumu	Rfx
Or43b	Kdm4A	MFS12
csul	Khc	CG33017
Tbc1d15-17	kis	Rpp30
Bap55	Lhr	EDTP
krz	mod	Map205
CG31548	MTA1-like	Sec23
Lpt	Nap1	kcc
bun	nub	pdm2
CG17801	Odj	Alg1
CG7497	Pep	CG43085
SCAR	piwi	CG12253
CG17202	Pp1-87B	NANS
CG7130	RpLP0	Sfp79B
Nhe1	Sam-S	ND-15
Cdk7	snf	TrxT
Phax	Su_var_2-10	GstE13
CG33468	Su_var_2-HP2	Sec61beta
CG8419	Su_var_205	Ssb-c31a
CG17147	Su_var_3-3	CG13813
Ravus	Su_var_3-7	TBC1D5
CG42404	Su_var_3-9	Set
CG32075	SuUR	Mocs1
bcn92	wapl	Cyp4d1
MED28	XNP	CG42488
Crz	PR-Set7	Afti
Snr1	HDAC3	Hcs
comt	HDAC4	CG15743
CG9114	HDAC6	CG9123
Nct	HDAC11	CAH4
DnaJ-H	Sirt1	Sfmbt
CG4360	Sirt2	Ir92a
OtopLc	Sirt4	CG4119
CG3999	Sirt6	pont
CG11843	Sirt7	Cul5
CG31344	Caf1-55	Art3
AP-1mu	MBD-like	CG9393
Pxn	MEP-1	CG14949
Usp32	Mi-2	Prp3
Adi1	simj	CG11811
Klp10A	CDK2AP1	CG15202
CG42693	ttk	CG11563
ifc	Kdm5	Tsp26A
mei-9	NO66	mRpL33
mRpL47	Kdm3	by
CG33137	Kdm4B	ValRS
tral	Gcn5	ver
CG3106	nej	btd
GAA1	mof	Usp30
dgt4	Tip60	tyf
RpL26	arx	CG6843
Pp2C1	ctp	Pdha
CG32452	mael	CG14450
mbf1	nxf2	Smn
CG5543	Nxt1	pippin
CG42672	Panx	CG9485
CG5708	ova	eEF1delta
Idh3a	CoRest	CG12231
udt	Lsd-1	CG10214
mthl13	wde	CG12935
Tailor	Alh	CG10098
MagR	Arp6	CG11679
CG3650	Atf-2	CG16896
CG13326	Cap-G	Ack-like
twin	cav	Spps
alpha-PheRS	CG2129	CG15336
CG13185	cuff	ERp60
pum	D1	Vps15
CG9253	del	E2f2
trbd	dmt	hyd
CG14212	e_y_3	Rcd-1
CG7530	eff	jvl
mRpL9	Fkbp39	Cyfip
ihog	Gas41	SA
CG3634	HIPP1	CG3618
Rab9D	Hmr	CG2124
CG7246	HP1b	APC4
ine	HP6	BG642163
CG18048	Hr83	Pak
Rbp4	Hrb87F	B52
Lk6	l_3_neo38	prd1
CG12321	MED17	CG14313
bt	MED26	Sox102F
Vrp1	mei-S332	GM130
CG34323	moon	CG15734
Mfap1	mu2	Cnb
CG17883	Nipped-B	conu
nenya	NSD	BOD1
CG9925	Orc2	rdx
CG33228	Pof	Mmp1
Vha100-3	prod	CG15107
CG44403	rhi	Oxp
Gpo1	Rif1	sli
CG32440	SA	barc
MtnE	Stat92E	DPCoAC
CG3868	stwl	CG3919
Rala	Tlk	HIP-R
lawc	Trf2	CG32712
TfIIS	vig	CG15270
CG31510	vig2	Mocs2A
CG40228	vtd	RpL15
Alg14	mh	CG6324
CG14439	sov	Coq7
CG3631	Rrp6	CG33331
bur	Mcm10	Ret
toe	eyg	CG32102
Mst85C	Kdm2	beag
CycY	esc	CG45011
Sirt1	Sfmbt	CG5439
ph-d	ph-p	D2hgdh
CG7632	Pc	Rab26
Uch-L5	Jarid2	pall
CG13321	Psc	CG33798
csw	ph-d	ph-p
Hsf	Pcl	pAbp
CG12883	Sce	CG31055
cav	Spps	CG13609
Rpn1	Su_z_12	Pfdn6
mRpS16	cg	Sdb
clu	calypso	CG44242
Cpsf160	Asx	Cpr51A
Pld	jing	Trap1
SpdS	Scm	Dh44
Kif3C	pho	CG33521
CG33798	Su_z_2	CG13323
hay	E_z_	CG8009
ghi	phol	CG3437
